3,83,1161,1811,-13,-5,-4,393,-60,-352
3,82,1152,1808,-19,-7,-4,394,-60,-352
3,82,1152,1808,-19,-7,-4,394,-60,-352
3,83,1147,1803,-10,-10,-2,394,-61,-353
3,83,1147,1803,-10,-10,-2,394,-60,-353
3,92,1154,1809,-12,-9,-7,393,-60,-353
3,92,1154,1809,-12,-9,-7,393,-59,-353
3,86,1143,1814,-19,0,-6,393,-59,-355
3,86,1143,1814,-19,0,-6,393,-59,-355
3,94,1151,1820,6,2,0,393,-59,-354
3,94,1151,1820,6,2,0,393,-59,-354
3,107,1163,1803,1,0,-3,393,-59,-354
3,107,1163,1803,1,0,-3,393,-59,-353
3,94,1158,1806,-12,10,-14,394,-59,-354
3,94,1158,1806,-12,10,-14,394,-59,-354
3,66,1145,1819,-23,10,-20,394,-59,-354
3,66,1145,1819,-23,10,-20,394,-60,-354
3,69,1139,1815,-9,9,-3,394,-59,-355
3,69,1139,1815,-9,9,-3,394,-60,-354
3,73,1148,1810,1,-11,3,394,-60,-355
3,73,1148,1810,1,-11,3,394,-60,-355
3,99,1157,1804,-7,-4,0,394,-60,-355
3,99,1157,1804,-7,-4,0,394,-60,-355
3,82,1149,1804,-20,-3,-6,394,-60,-355
3,82,1149,1804,-20,-3,-6,393,-60,-354
3,101,1142,1808,-23,-4,-7,394,-60,-354
3,101,1142,1808,-23,-4,-7,394,-60,-355
3,97,1135,1815,-8,6,-9,394,-60,-354
3,97,1135,1815,-8,6,-9,394,-60,-355
3,74,1145,1813,10,7,-6,395,-60,-354
3,74,1145,1813,10,7,-6,395,-60,-355
3,79,1152,1811,-4,2,-3,395,-60,-355
3,79,1152,1811,-4,2,-3,395,-61,-355
3,86,1147,1817,-8,9,-6,395,-61,-355
3,86,1147,1817,-8,9,-6,394,-61,-354
3,73,1146,1817,-5,7,-5,395,-60,-354
3,73,1146,1817,-5,7,-5,395,-61,-354
3,77,1141,1810,-8,-6,0,395,-60,-354
3,77,1141,1810,-8,-6,0,395,-60,-355
3,95,1142,1801,2,-5,-1,395,-60,-355
3,95,1142,1801,2,-5,-1,394,-60,-355
3,93,1152,1807,0,3,-7,394,-61,-354
3,93,1152,1807,0,3,-7,395,-60,-354
3,93,1152,1807,0,3,-7,395,-59,-354
3,81,1145,1812,-13,3,-9,395,-60,-355
3,81,1145,1812,-13,3,-9,394,-60,-355
3,82,1144,1811,-9,8,-8,395,-60,-355
3,82,1144,1811,-9,8,-8,395,-60,-355
3,74,1149,1817,-6,12,-9,395,-60,-354
3,74,1149,1817,-6,12,-9,395,-60,-355
3,63,1142,1814,-9,4,-3,395,-60,-355
